Rk,School_trim,Games,Wins,Losses,Win%,SimpleRatingSystem,StrengthOfSchedule,W_conf,L_conf,W_home,L_home,W_away,L_away,Points_made,Points_allowed.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
11,AppalachianState,28,17,11,0.607,-5.27,-5.18,7,8,9,4,4,7,1986,1806,1145,674,1626,0.415,227,701,0.324,411,558,0.737,307,1007,333,225,97,329,386
12,ArizonaState,25,11,14,0.44,5.39,8.15,7,10,7,6,2,6,1858,1927,1010,656,1515,0.433,179,537,0.333,367,504,0.728,196,797,327,182,82,274,478
13,Arizona,26,17,9,0.654,12.76,5.91,11,9,12,4,5,5,1961,1783,1050,667,1492,0.447,174,468,0.372,453,623,0.727,305,997,403,152,104,309,463
14,LittleRock,26,11,15,0.423,-6.22,-5.26,7,11,7,4,2,8,1786,1782,1050,638,1401,0.455,147,472,0.311,363,517,0.702,261,898,354,165,86,392,415
15,Arkansas-PineBluff,25,4,21,0.16,-22.83,-7.95,3,12,2,3,2,17,1549,1921,1010,524,1356,0.386,123,400,0.308,378,523,0.723,240,807,240,160,95,394,455
16,ArkansasState,24,11,13,0.458,-7.9,-5.81,7,8,9,3,1,9,1741,1667,965,621,1390,0.447,154,402,0.383,345,478,0.722,265,892,347,158,68,313,385
17,Arkansas,27,22,5,0.815,18.42,6.01,13,4,16,1,5,4,2236,1901,1085,798,1749,0.456,214,623,0.343,426,574,0.742,318,1077,403,217,139,352,458
18,Army,21,12,9,0.571,4.9,5,7,7,5,5,5,3,1511,1452,845,563,1225,0.46,166,502,0.331,219,345,0.635,169,728,304,133,30,263,325
19,Auburn,27,13,14,0.481,10.31,9.57,7,11,8,5,3,8,2084,2064,1090,711,1628,0.437,245,751,0.326,417,589,0.708,348,1063,400,168,163,438,482
20,AustinPeay,27,14,13,0.519,-6.28,-7.84,10,10,8,5,4,6,2007,1890,1090,733,1617,0.453,194,573,0.339,347,462,0.751,341,931,357,183,54,397,472
21,BallState,23,10,13,0.435,-1,-0.26,8,9,7,4,3,8,1719,1736,930,613,1384,0.443,195,570,0.342,298,397,0.751,229,848,318,126,54,330,441
22,Baylor,24,22,2,0.917,23.37,5.41,13,1,11,0,7,1,2025,1594,965,746,1513,0.493,248,593,0.418,285,409,0.697,309,875,409,215,90,298,412
23,Bellarmine,20,13,7,0.65,-1.86,-6.14,10,3,6,4,7,2,1486,1307,800,562,1091,0.515,128,341,0.375,234,314,0.745,159,608,316,143,42,222,307
24,Belmont,30,26,4,0.867,3.95,-8.23,18,2,11,1,10,2,2439,2074,1205,894,1829,0.489,271,787,0.344,380,515,0.738,264,1072,547,232,87,361,438
25,Binghamton,18,4,14,0.222,-11.47,-4.58,4,10,1,9,3,5,1178,1302,735,430,1039,0.414,156,472,0.331,162,241,0.672,191,642,199,90,55,250,307
26,BoiseState,26,18,8,0.692,9.65,0.89,14,6,11,1,6,6,1981,1725,1045,693,1522,0.455,199,582,0.342,396,532,0.744,239,929,348,172,76,299,443
27,BostonCollege,20,4,16,0.2,1.76,9.91,2,11,3,5,0,7,1427,1590,805,500,1186,0.422,180,546,0.33,247,352,0.702,183,666,230,143,77,274,324
28,BostonUniversity,18,7,11,0.389,1.39,5.94,6,10,2,6,5,5,1249,1331,720,451,1034,0.436,125,393,0.318,222,296,0.75,181,634,189,97,53,225,305
29,BowlingGreenState,25,14,11,0.56,1.17,-1.17,10,8,4,7,10,3,1963,1886,1010,702,1662,0.422,207,644,0.321,352,477,0.738,313,957,316,181,51,251,429
30,Bradley,28,12,16,0.429,0.61,1.45,6,12,8,6,2,9,1948,1864,1130,736,1636,0.45,192,603,0.318,284,393,0.723,284,1033,382,144,98,346,455
31,BrighamYoung,26,20,6,0.769,14.63,5.91,10,3,11,2,7,2,2047,1780,1055,751,1557,0.482,233,616,0.378,312,427,0.731,247,1024,431,123,73,346,468
32,Brown,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
33,Bryant,21,15,6,0.714,1.03,-5.72,10,4,10,1,5,5,1761,1571,840,609,1300,0.468,198,515,0.384,345,456,0.757,220,845,327,143,75,319,347
34,Bucknell,12,5,7,0.417,-3.8,-1.39,4,6,2,3,3,4,899,928,480,311,683,0.455,88,267,0.33,189,248,0.762,78,402,144,70,42,152,209
35,Buffalo,23,16,7,0.696,8.31,-1.28,12,5,8,3,5,3,1892,1664,930,714,1535,0.465,163,478,0.341,301,450,0.669,338,1015,378,190,93,319,411
36,Butler,25,10,15,0.4,5.85,11.01,8,12,8,4,1,9,1588,1717,1015,572,1393,0.411,179,554,0.323,265,410,0.646,230,807,308,139,51,286,406
37,CalPoly,24,4,20,0.167,-14.87,-2.83,1,15,3,8,0,11,1477,1700,965,520,1316,0.395,157,491,0.32,280,388,0.722,187,778,299,149,84,332,446
38,CalStateBakersfield,26,15,11,0.577,-1.6,-3.85,11,7,9,2,6,8,1811,1665,1045,684,1531,0.447,146,414,0.353,297,416,0.714,348,959,365,167,78,338,498
39,CalStateFullerton,16,6,10,0.375,-7.74,-4.48,5,9,5,4,1,5,1232,1257,645,430,951,0.452,131,341,0.384,241,326,0.739,140,526,218,107,32,205,271
40,CalStateNorthridge,22,9,13,0.409,-10.12,-3.4,5,9,4,7,4,4,1586,1709,885,560,1323,0.423,170,503,0.338,296,407,0.727,208,730,293,140,47,261,383
41,CaliforniaBaptist,23,13,10,0.565,-6.32,-6.11,6,6,11,4,2,5,1820,1674,925,634,1334,0.475,215,547,0.393,337,457,0.737,221,853,403,116,57,310,454
42,UC-Davis,18,10,8,0.556,-7.19,-5.6,7,5,4,3,4,3,1295,1289,735,449,1020,0.44,102,315,0.324,295,376,0.785,160,571,195,135,50,261,359
